osm_type,osm_id,event_date,event_kind,lat,lon,county_fips,state
way,27014697,2012-01-11,deletion,,,,
way,359930465,2015-07-11,creation,47.614422,-122.339742,53033,WA
way,438077596,2016-08-20,creation,41.663840,-93.484983,19153,IA
way,438077596,2016-08-20,deletion,41.663840,-93.484983,19153,IA
way,438077597,2016-08-20,creation,41.664937,-93.485436,19153,IA
way,438077597,2016-08-20,deletion,41.664937,-93.485436,19153,IA
way,438077632,2016-08-20,creation,41.540264,-93.824651,19049,IA
way,438077632,2016-08-20,geometry_change,41.540594,-93.827056,19049,IA
way,459188722,2016-12-12,creation,40.157044,-74.101582,34025,NJ
way,459188725,2016-12-12,creation,40.843660,-72.883345,36103,NY
way,35491576,2016-12-16,creation,37.241592,-121.783332,06085,CA
way,37947314,2016-12-16,creation,37.378416,-121.954976,06085,CA
way,45776978,2016-12-16,creation,38.790485,-77.541111,51153,VA
way,45776979,2016-12-16,creation,38.790350,-77.540006,51153,VA
way,45776988,2016-12-16,creation,38.791166,-77.538256,51153,VA
way,48242814,2016-12-16,creation,39.021649,-77.432896,51107,VA
way,48242816,2016-12-16,creation,39.021580,-77.434804,51107,VA
way,99813512,2016-12-16,creation,37.414564,-122.014579,06085,CA
way,132746406,2016-12-16,creation,37.445897,-122.160776,06085,CA
way,161126131,2016-12-16,creation,37.242041,-121.781839,06085,CA
way,192307107,2016-12-16,creation,37.788992,-122.390137,06075,CA
way,224174031,2016-12-16,creation,37.364310,-121.958799,06085,CA
way,224998784,2016-12-16,creation,37.362066,-121.946436,06085,CA
way,231769626,2016-12-16,creation,45.632037,-121.200849,41065,OR
way,234722029,2016-12-16,creation,39.016471,-77.459004,51107,VA
way,258343744,2016-12-16,creation,38.899652,-77.453440,51059,VA
way,258343749,2016-12-16,creation,38.897859,-77.454075,51059,VA
way,289620443,2016-12-16,creation,37.723602,-122.397936,06075,CA
way,298126010,2016-12-16,creation,39.017852,-77.462466,51107,VA
way,298127361,2016-12-16,creation,39.016186,-77.461601,51107,VA
way,298127420,2016-12-16,creation,39.015179,-77.459458,51107,VA
way,298242260,2016-12-16,creation,39.021952,-77.460194,51107,VA
way,298242335,2016-12-16,creation,39.019936,-77.459842,51107,VA
way,299927846,2016-12-16,creation,38.993779,-77.450509,51107,VA
way,299929061,2016-12-16,creation,38.988721,-77.447649,51107,VA
way,300162674,2016-12-16,creation,39.020105,-77.463086,51107,VA
way,300162675,2016-12-16,creation,39.021067,-77.463586,51107,VA
way,300163074,2016-12-16,creation,39.021967,-77.453216,51107,VA
way,300969614,2016-12-16,creation,39.003328,-77.487070,51107,VA
way,300969615,2016-12-16,creation,39.002747,-77.485403,51107,VA
way,300969616,2016-12-16,creation,39.002008,-77.483364,51107,VA
way,300969617,2016-12-16,creation,39.002770,-77.481987,51107,VA
way,300969619,2016-12-16,creation,39.004702,-77.485036,51107,VA
way,321385147,2016-12-16,creation,44.295659,-120.887073,41013,OR
way,358455179,2016-12-16,creation,37.361687,-121.943911,06085,CA
way,373945186,2016-12-16,creation,44.294922,-120.883974,41013,OR
way,390287635,2016-12-16,creation,37.399602,-122.014562,06085,CA
way,397914434,2016-12-16,creation,44.289351,-120.875071,41013,OR
way,435817145,2016-12-16,creation,39.024231,-77.433965,51107,VA
way,438078069,2016-12-16,creation,41.664241,-93.514728,19153,IA
way,438078069,2016-12-16,tag_change,41.664241,-93.514728,19153,IA
way,438078070,2016-12-16,creation,41.665531,-93.508175,19153,IA
way,438078070,2016-12-16,tag_change,41.665531,-93.508175,19153,IA
way,460050155,2016-12-16,creation,39.020997,-77.451529,51107,VA
way,460053028,2016-12-16,creation,39.026351,-77.450387,51107,VA
way,460053030,2016-12-16,creation,39.029071,-77.459141,51107,VA
way,460056017,2016-12-16,creation,38.915841,-77.491760,51107,VA
way,460056018,2016-12-16,creation,38.986370,-77.442330,51107,VA
way,460056019,2016-12-16,creation,38.991410,-77.436477,51107,VA
way,460056020,2016-12-16,creation,38.990640,-77.437007,51107,VA
way,460056023,2016-12-16,creation,38.990699,-77.448829,51107,VA
way,460056024,2016-12-16,creation,38.991688,-77.448583,51107,VA
way,460059465,2016-12-16,creation,38.789929,-77.548244,51153,VA
way,460060339,2016-12-16,creation,38.777635,-77.558560,51153,VA
way,460060340,2016-12-16,creation,38.792246,-77.548126,51153,VA
way,460060341,2016-12-16,creation,38.791230,-77.548100,51153,VA
way,460067220,2016-12-16,creation,40.093883,-82.751711,39089,OH
way,460067224,2016-12-16,creation,40.103295,-83.199960,39049,OH
way,460067225,2016-12-16,creation,40.060059,-83.134317,39049,OH
way,460070134,2016-12-16,creation,45.916303,-119.267675,41059,OR
way,460070145,2016-12-16,creation,45.852252,-119.630480,41049,OR
way,460070147,2016-12-16,creation,45.850881,-119.630524,41049,OR
way,460076753,2016-12-16,creation,37.388199,-121.888548,06085,CA
way,460085343,2016-12-16,creation,37.788731,-122.390469,06075,CA
way,460089167,2016-12-16,creation,35.314231,-81.822139,37161,NC
way,460089168,2016-12-16,creation,35.317368,-81.826369,37161,NC
way,460098998,2016-12-16,creation,32.984227,-97.258516,48439,TX
way,37947315,2016-12-17,creation,37.378040,-121.954151,06085,CA
way,38305431,2016-12-17,creation,37.372422,-121.973581,06085,CA
way,38305568,2016-12-17,creation,37.371519,-121.969697,06085,CA
way,38305611,2016-12-17,creation,37.373562,-121.972771,06085,CA
way,45776988,2016-12-17,tag_change,38.791204,-77.538277,51153,VA
way,52094269,2016-12-17,creation,39.023914,-77.415232,51107,VA
way,52094270,2016-12-17,creation,39.023331,-77.413227,51107,VA
way,52094294,2016-12-17,creation,39.024811,-77.412259,51107,VA
way,95782052,2016-12-17,creation,40.796884,-74.031150,34017,NJ
way,109458128,2016-12-17,creation,40.710890,-74.001204,36061,NY
way,156468497,2016-12-17,creation,38.913684,-77.225943,51059,VA
way,193611192,2016-12-17,creation,40.778602,-74.072301,34017,NJ
way,193611211,2016-12-17,creation,40.776428,-74.069776,34017,NJ
way,193611219,2016-12-17,creation,40.777405,-74.075916,34017,NJ
way,204460681,2016-12-17,creation,40.549213,-74.458210,34023,NJ
way,204460903,2016-12-17,creation,40.552905,-74.459302,34023,NJ
way,204460903,2016-12-17,tag_change,40.552905,-74.459302,34023,NJ
way,204460950,2016-12-17,creation,40.553779,-74.457179,34023,NJ
way,205724881,2016-12-17,creation,47.495025,-122.290567,53033,WA
way,205724885,2016-12-17,creation,47.494860,-122.288193,53033,WA
way,209073635,2016-12-17,creation,37.377005,-121.952082,06085,CA
way,209073641,2016-12-17,creation,37.375823,-121.953335,06085,CA
way,209073647,2016-12-17,creation,37.378289,-121.958105,06085,CA
way,209073649,2016-12-17,creation,37.374997,-121.954077,06085,CA
way,209073653,2016-12-17,creation,37.374929,-121.955986,06085,CA
way,209073657,2016-12-17,creation,37.375023,-121.958096,06085,CA
way,209073658,2016-12-17,creation,37.375777,-121.955193,06085,CA
way,209076412,2016-12-17,creation,37.376341,-121.948531,06085,CA
way,209077298,2016-12-17,creation,37.377585,-121.950682,06085,CA
way,209087373,2016-12-17,creation,37.372250,-121.948329,06085,CA
way,223928497,2016-12-17,creation,47.614355,-122.338864,53033,WA
way,224998784,2016-12-17,tag_change,37.362066,-121.946436,06085,CA
way,251716328,2016-12-17,creation,38.910133,-77.472580,51059,VA
way,258519934,2016-12-17,creation,38.909257,-77.472272,51059,VA
way,258519959,2016-12-17,creation,38.909813,-77.473486,51059,VA
way,279410762,2016-12-17,creation,40.760759,-74.025766,34017,NJ
way,279410766,2016-12-17,creation,40.761831,-74.025025,34017,NJ
way,283051472,2016-12-17,creation,47.246755,-119.814085,53025,WA
way,283051473,2016-12-17,creation,47.251575,-119.813797,53025,WA
way,283051474,2016-12-17,creation,47.251312,-119.818827,53025,WA
way,283051477,2016-12-17,creation,47.246419,-119.829145,53025,WA
way,293211683,2016-12-17,creation,47.491918,-122.289749,53033,WA
way,293211686,2016-12-17,creation,47.493550,-122.290317,53033,WA
way,293211687,2016-12-17,creation,47.493439,-122.288861,53033,WA
way,298242260,2016-12-17,tag_change,39.021952,-77.460194,51107,VA
way,299946152,2016-12-17,creation,38.994629,-77.447886,51107,VA
way,300163074,2016-12-17,tag_change,39.022139,-77.453604,51107,VA
way,300969250,2016-12-17,creation,39.012538,-77.475393,51107,VA
way,300969614,2016-12-17,tag_change,39.003328,-77.487070,51107,VA
way,300969615,2016-12-17,tag_change,39.002747,-77.485403,51107,VA
way,300969616,2016-12-17,tag_change,39.002008,-77.483364,51107,VA
way,300969617,2016-12-17,tag_change,39.002770,-77.481987,51107,VA
way,300969619,2016-12-17,tag_change,39.004276,-77.484321,51107,VA
way,301419810,2016-12-17,creation,39.000840,-77.479229,51107,VA
way,337126739,2016-12-17,creation,47.494171,-122.294472,53033,WA
way,337126741,2016-12-17,creation,47.493077,-122.293721,53033,WA
way,337126742,2016-12-17,creation,47.492128,-122.293314,53033,WA
way,359930465,2016-12-17,tag_change,47.614422,-122.339742,53033,WA
way,424945736,2016-12-17,creation,33.917729,-118.386313,06037,CA
way,424945852,2016-12-17,creation,33.915649,-118.384630,06037,CA
way,428021796,2016-12-17,creation,34.047333,-118.257461,06037,CA
way,428021816,2016-12-17,creation,34.047896,-118.255547,06037,CA
way,435324552,2016-12-17,creation,39.026320,-77.414344,51107,VA
way,460050155,2016-12-17,tag_change,39.020997,-77.451529,51107,VA
way,460159925,2016-12-17,creation,37.403906,-121.889299,06085,CA
way,460159928,2016-12-17,creation,37.370439,-121.969830,06085,CA
way,460159955,2016-12-17,creation,37.371779,-121.972505,06085,CA
way,460167186,2016-12-17,creation,47.407164,-120.187490,53017,WA
