osm_type,osm_id,name,operator,operator_wikidata,ref,lat,lon,footprint_m2,county_fips,state,first_seen
node,751881301,CoreSite DC1,CoreSite,Q5170140,,38.902888,-77.029149,0.0,11001,DC,2023-04-26
node,1825907839,Southwest Cyberport,,,,35.103293,-106.589349,0.0,35001,NM,2020-03-27
node,2607827436,SDSU Computer Room,,,,32.775025,-117.070888,0.0,06073,CA,2020-11-13
node,3406467087,NocRoom Miami IT Services,,,,25.791545,-80.317748,0.0,12086,FL,2023-02-28
node,3406476814,NocRoom Miami IT Services,,,,25.646562,-80.423435,0.0,12086,FL,2023-02-28
node,3468203102,Center for Computation & Technology (CCT),,,,30.407446,-91.172545,0.0,22033,LA,2019-09-22
node,3732415309,The Pittock Internet Exchange,Alco Properties,,,45.521425,-122.680562,0.0,41051,OR,2020-08-29
node,4879481820,Google Fiber,Google,Q95,,33.771568,-84.366859,0.0,13121,GA,2022-04-12
node,5146323411,Open Computing Facility,,,,37.869852,-122.259823,0.0,06001,CA,2020-01-05
node,5225685660,Lumos Networks,,,,37.415688,-79.142706,0.0,51680,VA,2017-11-13
node,6401035673,Rack59 Data Center,,,,35.467205,-97.649745,0.0,40109,OK,2021-02-24
node,6625492701,Oso Grande,Oso Grande,,OSO,35.092501,-106.653671,0.0,35001,NM,2024-12-01
node,6793837329,Morgan Wireless,,,,39.630985,-78.225320,0.0,54065,WV,2019-09-13
node,6856057098,VIRTBIZ,,,,32.782546,-96.782815,0.0,48113,TX,2019-10-06
node,7171975407,FirstLight Data Center,FirstLight,,,43.657839,-70.261379,0.0,23005,ME,2021-05-01
node,7264976228,Learning GIS!,,,,40.421790,-86.914155,0.0,18157,IN,2020-03-04
node,7264976991,Agricultural and Biological Engineering,,,,40.421854,-86.916545,0.0,18157,IN,2020-03-04
node,7324132050,Windstream Communications,,,,35.881397,-78.851552,0.0,37063,NC,2020-03-24
node,7324132051,Level 3 Communications,,,,35.881364,-78.851573,0.0,37063,NC,2020-03-24
node,7557854384,OptimumHQ,,,,33.380415,-111.752668,0.0,04013,AZ,2020-05-26
node,7557868585,The Chatfield Group,,,,33.380601,-111.752889,0.0,04013,AZ,2020-05-26
node,7578821329,All About Serving Process Server,,,,33.319916,-111.809686,0.0,04013,AZ,2020-06-01
node,7737996606,Emailage,,,,33.302965,-111.840539,0.0,04013,AZ,2020-07-22
node,7821940847,Alliance Technology,,,,33.379986,-111.728405,0.0,04013,AZ,2020-08-18
node,7985753364,8100 Boone Boulevard,Digital Realty,Q5275969,,38.913724,-77.225882,0.0,51059,VA,2020-10-07
node,8017899486,HiPerGator,University of Florida,,Version 3.0,29.672819,-82.299762,0.0,12001,FL,2020-10-18
node,8109664813,Atlanta ATL13,Digital Realty,Q5275969,ATL13,33.755519,-84.391481,0.0,13121,GA,2024-11-11
node,8165754026,Data Holdings Data Center,,,,43.043941,-87.953979,0.0,55079,WI,2020-11-25
node,8238715059,STACK Infrastructure,"Stack Infrastructure, Incorporated",,,37.402745,-121.891051,0.0,06085,CA,2020-12-17
node,8238715061,STACK Infrastructure,"Stack Infrastructure, Incorporated",,,37.402634,-121.891057,0.0,06085,CA,2020-12-17
node,8477460442,Digital West Data Center,,,,35.255316,-120.641513,0.0,06079,CA,2021-03-02
node,8641856300,Chick-fil-A Hiring Center,Dennis Sampier,,,42.627942,-82.988394,0.0,26099,MI,2021-04-19
node,8767284091,Ergonomic Group,,,,41.707078,-72.589864,0.0,09110,CT,2021-05-26
node,8897151054,San Jose Colocation Center,CoreSite,Q5170140,SV1,37.334118,-121.891646,0.0,06085,CA,2021-07-06
node,9092482804,Amazon Web Services IAD69,Amazon Web Services,Q456157,IAD69,39.025485,-77.414700,0.0,51107,VA,2021-09-14
node,9190480200,Stream Data Centers Houston,,,,30.178137,-95.486046,0.0,48339,TX,2021-10-21
node,9669340912,Crown Castle Baltimore,Crown Castle Fiber,,Baltimore,39.287702,-76.606489,0.0,24510,MD,2022-04-16
node,9669405859,AiNET One Market Center,AiNET,,BW1,39.291758,-76.620374,0.0,24510,MD,2022-04-16
node,9669639033,Lumen McLean,Lumen Technologies,Q5063092,,38.920854,-77.211571,0.0,51059,VA,2022-04-16
node,9721703993,TierPoint Milwaukee,,,,43.009794,-87.961093,0.0,55079,WI,2022-05-06
node,9736262934,Frontier Science,,,,42.990201,-78.812384,0.0,36029,NY,2022-05-13
node,9808044830,505 Marquette,,,,35.088629,-106.652646,0.0,35001,NM,2022-06-10
node,9808044840,123 Central,bigbyte.cc,,,35.084449,-106.648985,0.0,35001,NM,2022-06-10
node,9861806598,,,,,39.101182,-94.578821,0.0,29095,MO,2022-07-02
node,9922928085,Netrality Data Centers,,,,39.100907,-94.581145,0.0,29095,MO,2022-07-31
node,10014176940,Microsoft,Microsoft,Q2283,,18.417436,-66.108990,0.0,72061,PR,2022-09-10
node,10537283366,Netrality,Netrality,,,41.872881,-87.633440,0.0,17031,IL,2023-01-10
node,10567817971,Brandaleone Lab for Data and Visualization,Duke Libraries,,,36.003099,-78.938532,0.0,37063,NC,2023-01-19
node,10648552506,Frontier (supercomputer),Oak Ridge National Laboratory,,,35.929513,-84.310567,0.0,47145,TN,2023-02-11
node,10780794741,,Ntirety,,,37.779653,-122.394001,0.0,06075,CA,2023-04-03
node,10796113031,VaultLogix,,,,33.627367,-111.901703,0.0,04013,AZ,2023-04-09
node,10796113033,Profit Finder Pro Software,,,,33.627248,-111.902048,0.0,04013,AZ,2023-04-09
node,10798644674,DataPro USA Web Development,,,,33.611662,-111.913983,0.0,04013,AZ,2023-04-10
node,10880725408,e360,,,,37.971081,-122.043738,0.0,06013,CA,2023-05-09
node,10910879064,Digital Realty ORD10,Digital Realty,Q5275969,ORD10,41.853351,-87.618307,0.0,17031,IL,2023-05-19
