region_id,region_kind,name,state,fips,substation_count,bulk_substation_count,max_voltage_kv,plant_count,plant_capacity_mw,plants_without_capacity
county:01001,county,Autauga County,AL,01001,21,7,500.0,4,3252.5,0
county:01003,county,Baldwin County,AL,01003,53,4,230.0,0,0.0,0
county:01005,county,Barbour County,AL,01005,12,0,115.0,0,0.0,0
county:01007,county,Bibb County,AL,01007,5,1,500.0,0,0.0,0
county:01009,county,Blount County,AL,01009,8,1,230.0,0,0.0,0
county:01011,county,Bullock County,AL,01011,4,0,115.0,0,0.0,0
county:01013,county,Butler County,AL,01013,7,1,230.0,0,0.0,0
county:01015,county,Calhoun County,AL,01015,26,2,230.0,4,835.7,0
county:01017,county,Chambers County,AL,01017,14,2,230.0,3,79.2,2
county:01019,county,Cherokee County,AL,01019,5,1,230.0,1,87.6,0
county:01021,county,Chilton County,AL,01021,20,0,115.0,2,347.0,0
county:01023,county,Choctaw County,AL,01023,4,0,115.0,0,0.0,0
county:01025,county,Clarke County,AL,01025,14,1,230.0,0,0.0,0
county:01027,county,Clay County,AL,01027,3,1,230.0,0,0.0,0
county:01029,county,Cleburne County,AL,01029,5,0,115.0,0,0.0,0
county:01031,county,Coffee County,AL,01031,12,1,230.0,1,0.0,1
county:01033,county,Colbert County,AL,01033,18,0,161.0,3,2063.3,0
county:01035,county,Conecuh County,AL,01035,7,1,230.0,0,0.0,0
county:01037,county,Coosa County,AL,01037,3,0,115.0,0,0.0,0
county:01039,county,Covington County,AL,01039,14,2,230.0,4,742.2,0
county:01041,county,Crenshaw County,AL,01041,7,0,115.0,0,0.0,0
county:01043,county,Cullman County,AL,01043,14,1,500.0,3,0.0,3
county:01045,county,Dale County,AL,01045,15,1,230.0,1,10.6,0
county:01047,county,Dallas County,AL,01047,17,1,230.0,1,104.2,0
county:01049,county,DeKalb County,AL,01049,9,0,161.0,1,4.8,0
county:01051,county,Elmore County,AL,01051,27,0,115.0,5,677.1,0
county:01053,county,Escambia County,AL,01053,12,1,230.0,1,103.4,0
county:01055,county,Etowah County,AL,01055,22,4,230.0,0,0.0,0
county:01057,county,Fayette County,AL,01057,7,0,161.0,0,0.0,0
county:01059,county,Franklin County,AL,01059,6,0,161.0,0,0.0,0
county:01061,county,Geneva County,AL,01061,9,3,230.0,0,0.0,0
county:01063,county,Greene County,AL,01063,4,1,230.0,1,1288.4,0
county:01065,county,Hale County,AL,01065,9,1,230.0,0,0.0,0
county:01067,county,Henry County,AL,01067,8,0,115.0,1,168.0,0
county:01069,county,Houston County,AL,01069,23,3,500.0,2,1776.4,1
county:01071,county,Jackson County,AL,01071,19,1,500.0,0,0.0,0
county:01073,county,Jefferson County,AL,01073,146,14,500.0,3,2822.0,2
county:01075,county,Lamar County,AL,01075,3,1,500.0,0,0.0,0
county:01077,county,Lauderdale County,AL,01077,6,0,161.0,1,75.0,0
county:01079,county,Lawrence County,AL,01079,6,0,161.0,2,405.0,0
county:01081,county,Lee County,AL,01081,47,6,230.0,3,2271.7,0
county:01083,county,Limestone County,AL,01083,12,2,500.0,2,3582.2,0
county:01085,county,Lowndes County,AL,01085,9,0,115.0,1,97.0,0
county:01087,county,Macon County,AL,01087,8,0,115.0,3,0.0,3
county:01089,county,Madison County,AL,01089,19,1,500.0,6,43.4,4
county:01091,county,Marengo County,AL,01091,11,0,115.0,0,0.0,0
county:01093,county,Marion County,AL,01093,4,0,161.0,0,0.0,0
county:01095,county,Marshall County,AL,01095,10,0,161.0,2,119.2,0
county:01097,county,Mobile County,AL,01097,89,14,230.0,5,3330.4,0
county:01099,county,Monroe County,AL,01099,8,1,230.0,1,117.0,0
county:01101,county,Montgomery County,AL,01101,52,7,500.0,2,100.0,1
