region_id,region_kind,name,state,fips,facility_count,building_count,site_count,construction_count,footprint_m2,site_area_m2,construction_area_m2,share_of_footprint,est_mw,est_gal_per_day
county:01069,county,Houston County,AL,01069,1,1,0,0,993.0,0.0,0.0,0.00004965,1.09,2367
county:01071,county,Jackson County,AL,01071,3,2,1,0,26658.1,704404.7,0.0,0.00133302,29.22,63547
county:01073,county,Jefferson County,AL,01073,2,1,1,0,2496.8,61833.4,0.0,0.00012485,2.74,5952
county:01089,county,Madison County,AL,01089,7,7,0,0,231041.9,0.0,0.0,0.01155309,253.22,550750
county:01101,county,Montgomery County,AL,01101,1,0,0,1,0.0,0.0,1879996.0,0.00000000,0.00,0
county:04003,county,Cochise County,AZ,04003,1,1,0,0,700.4,0.0,0.0,0.00003502,0.77,1670
county:04013,county,Maricopa County,AZ,04013,76,44,12,5,958113.2,5817355.9,1826365.5,0.04790977,1050.08,2283918
county:04019,county,Pima County,AZ,04019,1,1,0,0,1335.4,0.0,0.0,0.00006678,1.46,3183
county:05119,county,Pulaski County,AR,05119,1,1,0,0,2958.6,0.0,0.0,0.00014794,3.24,7053
county:05145,county,White County,AR,05145,1,1,0,0,425.5,0.0,0.0,0.00002128,0.47,1014
county:06001,county,Alameda County,CA,06001,5,4,0,0,26167.5,0.0,0.0,0.00130849,28.68,62377
county:06013,county,Contra Costa County,CA,06013,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:06037,county,Los Angeles County,CA,06037,11,9,1,0,63390.0,2369.5,0.0,0.00316977,69.47,151107
county:06055,county,Napa County,CA,06055,1,1,0,0,15123.8,0.0,0.0,0.00075625,16.58,36052
county:06059,county,Orange County,CA,06059,2,2,0,0,11401.4,0.0,0.0,0.00057012,12.50,27178
county:06065,county,Riverside County,CA,06065,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:06067,county,Sacramento County,CA,06067,5,5,0,0,62048.7,0.0,0.0,0.00310270,68.00,147910
county:06073,county,San Diego County,CA,06073,5,3,1,0,19666.9,1263.2,0.0,0.00098343,21.55,46881
county:06075,county,San Francisco County,CA,06075,4,3,0,0,16609.7,0.0,0.0,0.00083056,18.20,39594
county:06079,county,San Luis Obispo County,CA,06079,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:06085,county,Santa Clara County,CA,06085,75,69,1,0,467272.3,13308.1,0.0,0.02336562,512.12,1113868
county:06095,county,Solano County,CA,06095,1,1,0,0,5134.8,0.0,0.0,0.00025676,5.63,12240
county:06099,county,Stanislaus County,CA,06099,1,1,0,0,559.1,0.0,0.0,0.00002796,0.61,1333
county:08001,county,Adams County,CO,08001,1,1,0,0,7995.2,0.0,0.0,0.00039979,8.76,19059
county:08005,county,Arapahoe County,CO,08005,10,8,0,0,62830.0,0.0,0.0,0.00314177,68.86,149772
county:08014,county,Broomfield County,CO,08014,1,1,0,0,17480.7,0.0,0.0,0.00087411,19.16,41670
county:08031,county,Denver County,CO,08031,3,2,0,0,6372.7,0.0,0.0,0.00031866,6.98,15191
county:08035,county,Douglas County,CO,08035,2,2,0,0,21080.2,0.0,0.0,0.00105410,23.10,50250
county:08041,county,El Paso County,CO,08041,4,4,0,0,35691.7,0.0,0.0,0.00178474,39.12,85081
county:09110,county,Capitol Planning Region,CT,09110,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:09120,county,Greater Bridgeport Planning Region,CT,09120,1,1,0,0,12540.3,0.0,0.0,0.00062707,13.74,29893
county:09170,county,South Central Connecticut Planning Region,CT,09170,1,1,0,0,5013.7,0.0,0.0,0.00025071,5.49,11951
county:09190,county,Western Connecticut Planning Region,CT,09190,2,2,0,0,8203.8,0.0,0.0,0.00041023,8.99,19556
county:11001,county,District of Columbia,DC,11001,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:12001,county,Alachua County,FL,12001,2,1,0,0,3378.9,0.0,0.0,0.00016896,3.70,8055
county:12011,county,Broward County,FL,12011,2,2,0,0,11409.8,0.0,0.0,0.00057054,12.50,27198
county:12031,county,Duval County,FL,12031,2,1,0,0,2805.8,0.0,0.0,0.00014030,3.08,6688
county:12057,county,Hillsborough County,FL,12057,3,2,0,0,11889.4,0.0,0.0,0.00059452,13.03,28342
county:12086,county,Miami-Dade County,FL,12086,4,2,0,0,12870.5,0.0,0.0,0.00064358,14.11,30680
county:12095,county,Orange County,FL,12095,2,2,0,0,10772.3,0.0,0.0,0.00053866,11.81,25679
county:12105,county,Polk County,FL,12105,1,1,0,0,2097.6,0.0,0.0,0.00010489,2.30,5000
county:13067,county,Cobb County,GA,13067,2,2,0,0,8675.5,0.0,0.0,0.00043381,9.51,20680
county:13097,county,Douglas County,GA,13097,6,5,1,0,116898.5,242338.1,0.0,0.00584543,128.12,278659
county:13113,county,Fayette County,GA,13113,4,4,0,0,102870.0,0.0,0.0,0.00514394,112.74,245218
county:13117,county,Forsyth County,GA,13117,1,1,0,0,16136.7,0.0,0.0,0.00080690,17.69,38466
county:13121,county,Fulton County,GA,13121,16,10,3,0,175235.9,189579.7,0.0,0.00876255,192.06,417721
county:13135,county,Gwinnett County,GA,13135,4,3,1,0,65327.4,134899.2,0.0,0.00326665,71.60,155725
county:13215,county,Muscogee County,GA,13215,2,1,1,0,10838.1,39093.2,0.0,0.00054195,11.88,25835
county:13217,county,Newton County,GA,13217,4,3,1,0,164127.4,839138.0,0.0,0.00820707,179.88,391241
county:16001,county,Ada County,ID,16001,3,2,1,0,63716.3,1481965.8,0.0,0.00318609,69.83,151885
county:16007,county,Bear Lake County,ID,16007,1,1,0,0,379.2,0.0,0.0,0.00001896,0.42,904
county:16065,county,Madison County,ID,16065,1,1,0,0,1697.3,0.0,0.0,0.00008487,1.86,4046
county:17019,county,Champaign County,IL,17019,1,1,0,0,4238.3,0.0,0.0,0.00021193,4.65,10103
county:17031,county,Cook County,IL,17031,30,23,1,0,368574.6,195586.4,0.0,0.01843031,403.95,878596
county:17037,county,DeKalb County,IL,17037,4,3,1,0,135367.3,1188531.8,0.0,0.00676895,148.36,322684
county:17043,county,DuPage County,IL,17043,16,16,0,0,207744.9,0.0,0.0,0.01038814,227.69,495215
county:17097,county,Lake County,IL,17097,1,1,0,0,5109.8,0.0,0.0,0.00025551,5.60,12181
county:17119,county,Madison County,IL,17119,1,1,0,0,19.0,0.0,0.0,0.00000095,0.02,45
county:17197,county,Will County,IL,17197,1,0,1,0,0.0,3225949.5,0.0,0.00000000,0.00,0
county:18059,county,Hancock County,IN,18059,1,1,0,0,1951.5,0.0,0.0,0.00009758,2.14,4652
county:18089,county,Lake County,IN,18089,1,1,0,0,10778.1,0.0,0.0,0.00053895,11.81,25692
county:18105,county,Monroe County,IN,18105,1,1,0,0,8760.6,0.0,0.0,0.00043807,9.60,20883
county:18109,county,Morgan County,IN,18109,1,0,0,1,0.0,0.0,830299.0,0.00000000,0.00,0
county:18141,county,St. Joseph County,IN,18141,9,7,2,0,136877.2,1997227.2,0.0,0.00684445,150.02,326283
county:18157,county,Tippecanoe County,IN,18157,2,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:19049,county,Dallas County,IA,19049,13,9,4,0,162233.2,3279210.6,0.0,0.00811236,177.81,386726
county:19103,county,Johnson County,IA,19103,1,1,0,0,251.7,0.0,0.0,0.00001259,0.28,600
county:19153,county,Polk County,IA,19153,27,24,3,0,525483.2,3505977.4,0.0,0.02627642,575.92,1252629
county:19155,county,Pottawattamie County,IA,19155,20,18,2,0,300042.4,246818.9,0.0,0.01500341,328.84,715231
county:19163,county,Scott County,IA,19163,1,1,0,0,5015.3,0.0,0.0,0.00025079,5.50,11955
county:19181,county,Warren County,IA,19181,6,5,1,0,113306.4,657144.4,0.0,0.00566581,124.18,270096
county:20007,county,Barber County,KS,20007,1,1,0,0,42.5,0.0,0.0,0.00000213,0.05,101
county:20051,county,Ellis County,KS,20051,1,1,0,0,1074.1,0.0,0.0,0.00005371,1.18,2560
county:20091,county,Johnson County,KS,20091,5,5,0,0,33090.6,0.0,0.0,0.00165467,36.27,78880
county:21071,county,Floyd County,KY,21071,1,1,0,0,1448.8,0.0,0.0,0.00007245,1.59,3454
county:21107,county,Hopkins County,KY,21107,1,0,1,0,0.0,41102.5,0.0,0.00000000,0.00,0
county:21111,county,Jefferson County,KY,21111,2,2,0,0,6625.9,0.0,0.0,0.00033132,7.26,15795
county:21145,county,McCracken County,KY,21145,1,0,1,0,0.0,20765.4,0.0,0.00000000,0.00,0
county:22033,county,East Baton Rouge Parish,LA,22033,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:23003,county,Aroostook County,ME,23003,1,1,0,0,772.2,0.0,0.0,0.00003861,0.85,1841
county:23005,county,Cumberland County,ME,23005,2,1,0,0,5145.3,0.0,0.0,0.00025729,5.64,12265
county:24003,county,Anne Arundel County,MD,24003,1,1,0,0,3100.4,0.0,0.0,0.00015503,3.40,7391
county:24005,county,Baltimore County,MD,24005,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:24021,county,Frederick County,MD,24021,1,1,0,0,5948.0,0.0,0.0,0.00029743,6.52,14179
county:24027,county,Howard County,MD,24027,1,1,0,0,10424.3,0.0,0.0,0.00052126,11.42,24849
county:24031,county,Montgomery County,MD,24031,1,1,0,0,13591.9,0.0,0.0,0.00067965,14.90,32400
county:24033,county,Prince George's County,MD,24033,1,1,0,0,4000.2,0.0,0.0,0.00020003,4.38,9536
county:24510,county,Baltimore city,MD,24510,6,2,0,0,3159.8,0.0,0.0,0.00015800,3.46,7532
county:25009,county,Essex County,MA,25009,1,1,0,0,4771.0,0.0,0.0,0.00023857,5.23,11373
county:25017,county,Middlesex County,MA,25017,2,2,0,0,23934.2,0.0,0.0,0.00119681,26.23,57054
county:26045,county,Eaton County,MI,26045,2,2,0,0,8911.5,0.0,0.0,0.00044561,9.77,21243
county:26049,county,Genesee County,MI,26049,1,1,0,0,3422.1,0.0,0.0,0.00017112,3.75,8157
county:26099,county,Macomb County,MI,26099,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:26115,county,Monroe County,MI,26115,1,0,0,0,0.0,0.0,0.0,0.00000000,0.00,0
county:26125,county,Oakland County,MI,26125,1,1,0,0,3769.5,0.0,0.0,0.00018849,4.13,8986
county:26161,county,Washtenaw County,MI,26161,1,0,0,1,0.0,0.0,1367460.7,0.00000000,0.00,0
county:26163,county,Wayne County,MI,26163,4,4,0,0,8984.4,0.0,0.0,0.00044926,9.85,21417
county:27003,county,Anoka County,MN,27003,1,1,0,0,6884.3,0.0,0.0,0.00034424,7.55,16411
county:27019,county,Carver County,MN,27019,4,4,0,0,58176.9,0.0,0.0,0.00290909,63.76,138680
county:27037,county,Dakota County,MN,27037,3,2,0,1,55942.8,0.0,960112.8,0.00279738,61.31,133355
county:27049,county,Goodhue County,MN,27049,1,0,1,0,0.0,744894.5,0.0,0.00000000,0.00,0
